product,revenue,units,kg,n_invoices,rank,cum_pct_revenue,abc_class,volume_tier
Champion French Polony 10 x 750g,85960.7,431.0,3232.5,24,101,74.32487683512471,A,High Volume
Combo Deal 7,84052.88,823.0,0.0,407,102,74.53141334062052,A,Low Volume
Crown National - PAPRIKA GROUND 150G,83555.13,3204.0,480.6,882,103,74.73672676434197,A,High Volume
RTE : Assorted Salads P/kg,82934.56,8671.0,1206.47,1448,104,74.9405153104005,A,High Volume
Smoked Viennas 1kg,82928.38,3555.0,3555.0,1051,105,75.14428867083299,A,High Volume
Supreme Livers 1kg,81340.26,2844.0,2844.0,780,106,75.34415966938201,A,High Volume
Eskort Econo Chilli Russians 3kg,80071.1,525.0,1575.0,307,107,75.54091206127157,A,High Volume
Eskort Econo Burger (10 X 100g) 1kg,79870.84,1884.0,1884.0,569,108,75.73717237007497,A,High Volume
Toplay Large 48s,78128.89,711.0,3412.7999999999997,397,109,75.92915232268179,A,High Volume
Eskort Bulk Pork Chops Bone-In 2.5kg,77259.23,369.0,922.5,293,110,76.118995328436,A,High Volume
RTE: Pap P/Kg,76592.56,8350.0,5142.77,1285,111,76.30720017863717,A,High Volume
Marinated Loin Ribs 750g,75291.34,895.0,671.25,412,112,76.49220764367226,A,High Volume
Grapes Punnet,75183.05,10967.0,2193.4,335,113,76.67694901624054,A,High Volume
Rib Burger Fr 16 * 500g VP,74510.0,125.0,1000.0,1,114,76.86003655618555,A,High Volume
Eskort Beef Burger Patties (10x50g) 500g,73389.82,3587.0,1793.5,931,115,77.04037156626214,A,High Volume
Eskort French Polony 20 x 80g,72438.19,995.0,1592.0,59,116,77.21836821107719,A,High Volume
Champion French Polony 4 x 2kg,72280.26,397.0,3176.0,14,117,77.39597678697285,A,High Volume
French Polony 2kg,69350.07,1063.0,2126.0,629,118,77.56638523833931,A,High Volume
French Polony 1Kg Combo Deal,69138.72,997.0,0.0,494,119,77.73627435603822,A,Low Volume
Eskort Deli Shoulder Bacon 1kg,68555.82,667.0,667.0,90,120,77.90473115959095,A,High Volume
Eskort Smoked Vienna 10 x 125g,68395.96,1034.0,1292.69,60,121,78.07279515178766,A,High Volume
Spare Ribs Pre-Cooked Marinated 1Kg,67670.83,575.0,575.0,308,122,78.23907733928917,A,High Volume
Umlando No Pork Braaiwors 2.5kg,67106.62,738.0,1845.0,500,123,78.40397313810577,A,High Volume
